Relation,Label,Label_out
http://www.wikidata.org/prop/direct/P10,video,video
http://www.wikidata.org/prop/direct/P1001,applies to jurisdiction,applies to jurisdiction
http://www.wikidata.org/prop/direct/P1027,conferred by,conferred by
http://www.wikidata.org/prop/direct/P1029,crew member(s),crew member(s)
http://www.wikidata.org/prop/direct/P103,native language,native language
http://www.wikidata.org/prop/direct/P1037,director / manager,director / manager
http://www.wikidata.org/prop/direct/P1038,relative,relative
http://www.wikidata.org/prop/direct/P1040,edit,film editor
http://www.wikidata.org/prop/direct/P1040,film editor,film editor
http://www.wikidata.org/prop/direct/P1050,medical condition,medical condition
http://www.wikidata.org/prop/direct/P1056,product or material produced,product or material produced
http://www.wikidata.org/prop/direct/P1066,student of,student of
http://www.wikidata.org/prop/direct/P108,employer,employer
http://www.wikidata.org/prop/direct/P1080,from narrative universe,from narrative universe
http://www.wikidata.org/prop/direct/P112,founded by,founded by
http://www.wikidata.org/prop/direct/P1165,home world,home world
http://www.wikidata.org/prop/direct/P119,place of burial,place of burial
http://www.wikidata.org/prop/direct/P1269,facet of,facet of
http://www.wikidata.org/prop/direct/P127,owned by,owned by
http://www.wikidata.org/prop/direct/P1299,depicted by,depicted by
http://www.wikidata.org/prop/direct/P131,located in the administrative territorial entity,located in the administrative territorial entity
http://www.wikidata.org/prop/direct/P1327,partner in business or sport,partner in business or sport
http://www.wikidata.org/prop/direct/P1343,described by source,described by source
http://www.wikidata.org/prop/direct/P1344,participant in,participant in
http://www.wikidata.org/prop/direct/P1346,winner,winner
http://www.wikidata.org/prop/direct/P135,movement,movement
http://www.wikidata.org/prop/direct/P136,genre,genre
http://www.wikidata.org/prop/direct/P1365,replaces,replaces
http://www.wikidata.org/prop/direct/P1366,replaced by,replaced by
http://www.wikidata.org/prop/direct/P137,operator,operator
http://www.wikidata.org/prop/direct/P1376,capital of,capital of
http://www.wikidata.org/prop/direct/P138,named after,named after
http://www.wikidata.org/prop/direct/P1382,partially coincident with,partially coincident with
http://www.wikidata.org/prop/direct/P1399,convicted of,convicted of
http://www.wikidata.org/prop/direct/P1411,nominated for,nominated for
http://www.wikidata.org/prop/direct/P1412,"languages spoken, written or signed","languages spoken, written or signed"
http://www.wikidata.org/prop/direct/P1416,affiliation,affiliation
http://www.wikidata.org/prop/direct/P1429,has pet,has pet
http://www.wikidata.org/prop/direct/P1431,executive producer,executive producer
http://www.wikidata.org/prop/direct/P1433,published in,published in
http://www.wikidata.org/prop/direct/P1434,takes place in fictional universe,takes place in fictional universe
http://www.wikidata.org/prop/direct/P144,based on,based on
http://www.wikidata.org/prop/direct/P1441,present in work,present in work
http://www.wikidata.org/prop/direct/P1445,fictional universe described in,fictional universe described in
http://www.wikidata.org/prop/direct/P1455,list of works,list of works
http://www.wikidata.org/prop/direct/P1476,title,title
http://www.wikidata.org/prop/direct/P150,contains administrative territorial entity,contains administrative territorial entity
http://www.wikidata.org/prop/direct/P1532,country for sport,country for sport
http://www.wikidata.org/prop/direct/P1542,has effect,has effect
http://www.wikidata.org/prop/direct/P155,follows,follows
http://www.wikidata.org/prop/direct/P1552,has quality,has quality
http://www.wikidata.org/prop/direct/P156,followed by,followed by
http://www.wikidata.org/prop/direct/P157,killed by,killed by
http://www.wikidata.org/prop/direct/P1589,lowest point,lowest point
http://www.wikidata.org/prop/direct/P159,headquarters location,headquarters location
http://www.wikidata.org/prop/direct/P161,cast,cast
http://www.wikidata.org/prop/direct/P161,cast member,cast
http://www.wikidata.org/prop/direct/P161,cast member,cast member
http://www.wikidata.org/prop/direct/P162,producer,producer
http://www.wikidata.org/prop/direct/P162,produc,producer
http://www.wikidata.org/prop/direct/P1638,working title,working title
http://www.wikidata.org/prop/direct/P1657,MPA film rating,MPA film rating
http://www.wikidata.org/prop/direct/P1657,MPA rating,MPA film rating
http://www.wikidata.org/prop/direct/P1657,MPAA film rating,MPAA film rating
http://www.wikidata.org/prop/direct/P166,award received,award received
http://www.wikidata.org/prop/direct/P175,performer,performer
http://www.wikidata.org/prop/direct/P178,developer,developer
http://www.wikidata.org/prop/direct/P179,part of the series,part of the series
http://www.wikidata.org/prop/direct/P18,image,image
http://www.wikidata.org/prop/direct/P180,depicts,depicts
http://www.wikidata.org/prop/direct/P1809,choreographer,choreographer
http://www.wikidata.org/prop/direct/P1830,owner of,owner of
http://www.wikidata.org/prop/direct/P1875,represented by,represented by
http://www.wikidata.org/prop/direct/P1877,after a work by,after a work by
http://www.wikidata.org/prop/direct/P1881,list of characters,list of characters
http://www.wikidata.org/prop/direct/P1881,characters,list of characters
http://www.wikidata.org/prop/direct/P1889,different from,different from
http://www.wikidata.org/prop/direct/P19,place of birth,place of birth
http://www.wikidata.org/prop/direct/P190,twinned administrative body,twinned administrative body
http://www.wikidata.org/prop/direct/P1981,FSK film rating,FSK film rating
http://www.wikidata.org/prop/direct/P1981,FSK raing,FSK film rating
http://www.wikidata.org/prop/direct/P1995,health specialty,health specialty
http://www.wikidata.org/prop/direct/P20,place of death,place of death
http://www.wikidata.org/prop/direct/P2047,duration,duration
http://www.wikidata.org/prop/direct/P205,basin country,basin country
http://www.wikidata.org/prop/direct/P206,located in or next to body of water,located in or next to body of water
http://www.wikidata.org/prop/direct/P2061,aspect ratio (W:H),aspect ratio (W:H)
http://www.wikidata.org/prop/direct/P2079,fabrication method,fabrication method
http://www.wikidata.org/prop/direct/P21,sex or gender,sex or gender
http://www.wikidata.org/prop/direct/P2130,cost,cost
http://www.wikidata.org/prop/direct/P2142,box office,box office
http://www.wikidata.org/prop/direct/P22,father,father
http://www.wikidata.org/prop/direct/P2208,average shot length,average shot length
http://www.wikidata.org/prop/direct/P2283,uses,uses
http://www.wikidata.org/prop/direct/P2341,indigenous to,indigenous to
http://www.wikidata.org/prop/direct/P2348,time period,time period
http://www.wikidata.org/prop/direct/P2360,intended for,intended public
http://www.wikidata.org/prop/direct/P2360,intended public,intended public
http://www.wikidata.org/prop/direct/P2363,NMHH film rating,NMHH film rating
http://www.wikidata.org/prop/direct/P2363,NMHH rating,NMHH film rating
http://www.wikidata.org/prop/direct/P2408,time,set in period of
http://www.wikidata.org/prop/direct/P2408,set in period,set in period of
http://www.wikidata.org/prop/direct/P2408,set in period,set in period
http://www.wikidata.org/prop/direct/P2416,sports discipline competed in,sports discipline competed in
http://www.wikidata.org/prop/direct/P2438,narrator,narrator
http://www.wikidata.org/prop/direct/P25,mother,mother
http://www.wikidata.org/prop/direct/P2515,costume designer,costume designer
http://www.wikidata.org/prop/direct/P2541,operating area,operating area
http://www.wikidata.org/prop/direct/P2546,sidekick of,sidekick of
http://www.wikidata.org/prop/direct/P2554,production designer,production designer
http://www.wikidata.org/prop/direct/P2563,superhuman feature or ability,superhuman feature or ability
http://www.wikidata.org/prop/direct/P26,spouse,spouse
http://www.wikidata.org/prop/direct/P2629,BBFC rating,BBFC rating
http://www.wikidata.org/prop/direct/P2632,place of detention,place of detention
http://www.wikidata.org/prop/direct/P2637,RARS rating,RARS rating
http://www.wikidata.org/prop/direct/P2650,interested in,interested in
http://www.wikidata.org/prop/direct/P2684,Kijkwijzer rating,Kijkwijzer rating
http://www.wikidata.org/prop/direct/P27,country of citizenship,country of citizenship
http://www.wikidata.org/prop/direct/P272,production company,production company
http://www.wikidata.org/prop/direct/P272,voic,voice actor
http://www.wikidata.org/prop/direct/P2747,Filmiroda rating,Filmiroda rating
http://www.wikidata.org/prop/direct/P2756,EIRIN film rating,EIRIN film rating
http://www.wikidata.org/prop/direct/P2756,EIRIN rating,EIRIN film rating
http://www.wikidata.org/prop/direct/P2758,CNC film rating (France),CNC film rating (France)
http://www.wikidata.org/prop/direct/P2758,CNC rating,CNC film rating (France)
http://www.wikidata.org/prop/direct/P279,subclass of,subclass of
http://www.wikidata.org/prop/direct/P2860,cites work,cites work
http://www.wikidata.org/prop/direct/P287,designed by,designed by
http://www.wikidata.org/prop/direct/P291,place of publication,place of publication
http://www.wikidata.org/prop/direct/P2936,language used,language used
http://www.wikidata.org/prop/direct/P3092,film crew member,film crew member
http://www.wikidata.org/prop/direct/P3095,practiced by,practiced by
http://www.wikidata.org/prop/direct/P31,a film,instance of
http://www.wikidata.org/prop/direct/P31,a movie,instance of
http://www.wikidata.org/prop/direct/P31,instance of,instance of
http://www.wikidata.org/prop/direct/P3156,Australian Classification,Australian Classification
http://www.wikidata.org/prop/direct/P3216,ClassInd rating,ClassInd rating
http://www.wikidata.org/prop/direct/P3275,storyboard artist,storyboard artist
http://www.wikidata.org/prop/direct/P3300,musical conductor,musical conductor
http://www.wikidata.org/prop/direct/P3301,broadcast by,broadcast by
http://www.wikidata.org/prop/direct/P3306,ICAA rating,ICAA rating
http://www.wikidata.org/prop/direct/P3342,significant person,significant person
http://www.wikidata.org/prop/direct/P3383,film poster,film poster
http://www.wikidata.org/prop/direct/P3402,CNC film rating (Romania),CNC film rating (Romania)
http://www.wikidata.org/prop/direct/P3428,INCAA film rating,INCAA film rating
http://www.wikidata.org/prop/direct/P3428,INCAA rating,INCAA film rating
http://www.wikidata.org/prop/direct/P344,photography director,director of photography
http://www.wikidata.org/prop/direct/P344,director of photography,director of photography
http://www.wikidata.org/prop/direct/P345,IMDb ID,IMDb ID
http://www.wikidata.org/prop/direct/P35,head of state,head of state
http://www.wikidata.org/prop/direct/P361,part of,part of
http://www.wikidata.org/prop/direct/P364,original language,original language
http://www.wikidata.org/prop/direct/P364,language,original language
http://www.wikidata.org/prop/direct/P364,original language of film or TV show,original language of film or TV show
http://www.wikidata.org/prop/direct/P3650,JMK film rating,JMK film rating
http://www.wikidata.org/prop/direct/P3650,JMK rating,JMK film rating
http://www.wikidata.org/prop/direct/P371,presenter,presenter
http://www.wikidata.org/prop/direct/P3803,original film format,original film format
http://www.wikidata.org/prop/direct/P3818,KMRB film rating,KMRB film rating
